timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_rad_s,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
27219159,4800,6,0.166786,-0.026024,0.243607,0.000543187,-0.000238887,0.00119447,25.2387,34.9066,0.00106422,0.120562,0.123754,0.12269,0.0939563,0.058837,-0.219597,-0.140845,0.051779,0.187999,0.122017,0.253443,0.272598,0.265149,0.227901,0.193846,536898680,111,-2,173,78,5
27223160,4001,6,0.123791,-0.0203302,0.23537,0.000269552,-0.000264166,0.000869718,25.2509,34.9066,0.00106422,0.0407453,0.0503233,0.101406,0.13014,0.101406,-0.0759274,-0.205762,-0.150423,0.0358157,-0.150423,0.191718,0.216195,0.252378,0.273663,0.252378,536871776,30,-69,248,82,4
27227209,4049,6,0.0927428,-0.00619938,0.233583,0.000239311,0.000292919,0.000931871,25.2723,34.9066,0.00106422,0.0928921,0.0354242,-0.00927302,0.00456184,0.0,0.16565,0.159265,-0.00249622,-0.145102,2.24208e-44,0.260892,0.219387,0.178947,0.178947,4.15813e-34,536898680,-140,49,159,89,4
27232759,5550,6,0.0593462,-0.000968255,0.22677,0.000166697,2.5069e-05,0.00124708,25.2723,34.9066,0.00106422,0.0535159,0.0886352,0.0886352,0.00136918,-0.0539702,-0.138716,0.00176066,0.13266,0.134788,0.0390083,0.208745,0.252378,0.268342,0.244929,0.190654,536898680,33,104,170,89,5
27237560,4801,6,0.0248895,0.0109727,0.215047,9.06352e-05,0.000150678,0.00096844,25.2876,34.9066,0.00106422,-0.0784473,-0.00714458,0.0620297,0.0811856,0.0237178,-0.0716705,-0.0844411,0.0209166,0.140109,0.166715,0.155534,0.166177,0.206617,0.240672,0.244929,536898680,153,31,221,94,5
27242360,4800,6,-0.00515526,0.0338392,0.203846,-0.000235574,0.000127839,0.000838565,25.2723,34.9066,0.00106422,-0.0880253,-0.123145,-0.0816399,0.0364884,0.10247,0.0826413,-0.00568888,-0.0482577,0.0166597,0.113504,0.207681,0.16192,0.142764,0.162984,0.19491,536898680,103,-43,174,89,5
27247209,4849,6,-0.017791,0.0688146,0.19062,-0.000165633,0.000651117,0.000886491,25.254,34.9066,0.00106422,0.0577728,-0.0475849,-0.144429,-0.117823,-0.0177868,0.191192,0.176293,0.112439,0.0624212,0.0539074,0.211938,0.20236,0.170433,0.141699,0.136378,536898680,47,70,119,83,5
27252759,5550,6,-0.0124905,0.104212,0.172704,4.87488e-05,0.000815183,0.000866754,25.2601,34.9066,0.00106422,0.103534,0.121626,0.0407453,-0.0741904,-0.124209,0.12521,0.166715,0.20077,0.163522,0.170972,0.149149,0.169369,0.171498,0.165112,0.143828,536887672,157,170,126,85,5
27257559,4800,6,0.00254433,0.150103,0.155826,0.000436937,0.000948435,0.000660485,25.2846,34.9066,0.00106422,-0.062484,0.0843783,0.179094,0.186543,0.0758645,0.170972,0.208219,0.219926,0.202898,0.1731,0.133186,0.132121,0.137443,0.141699,0.139571,536898680,159,-18,122,93,5
27262359,4800,6,0.0315321,0.191426,0.142762,0.00016588,0.00117568,0.00063922,25.2754,34.9066,0.00106422,-0.0358785,-0.0646124,0.0109472,0.167387,0.236562,0.170972,0.22099,0.288036,0.311449,0.274201,0.142764,0.135314,0.13425,0.124672,0.115094,0,254,-169,99,90,5
