timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
39320759,4800,6,0.14299,0.0496322,-9.72314,-0.00334639,-0.00375,-0.0431426,25.8476,78.4532,0.0023942,-4.49711,-1.71005,3.27847,3.23066,1.27302,-4.92833,-4.32523,1.76185,6.37626,3.10129,-10.1687,-7.02644,-5.29165,-9.44941,-13.189,966779616,1036,-533,-5764,277,5
39326359,5600,6,-0.0220168,-0.100608,-9.82582,-0.00122026,0.000603582,-0.054209,25.8629,78.4532,0.0023942,-2.51557,-3.04621,-0.933205,2.16221,1.72001,-2.19803,-5.73948,-3.57954,2.50755,6.50015,-13.3539,-11.3849,-6.13276,-5.66919,-8.47927,966779616,2490,-720,-3793,282,5
39331170,4811,6,-0.0242552,0.0801213,-9.92991,0.000126287,-0.00421498,-0.049562,25.8446,78.4532,0.0023942,-0.115729,-0.928424,-1.09335,0.768675,1.46186,4.19061,-2.551,-5.3117,-2.70762,3.16908,-12.7063,-13.7649,-12.4411,-6.625,-5.44936,966779616,1065,-612,-2525,276,5
39335959,4789,6,-0.0719545,0.301694,-9.90379,-0.00147773,0.00289253,-0.0530972,25.8721,78.4532,0.0023942,-0.098997,-1.97537,-1.03599,0.842774,2.43948,5.12097,1.74783,-1.62532,-2.56269,-1.30507,-8.19014,-11.6764,-14.1257,-12.8043,-8.03243,966779616,-849,-1021,-3606,285,5
39340759,4800,6,-0.161038,0.193173,-9.77428,-0.00350465,0.00303336,-0.043043,25.8568,78.4532,0.0023942,1.79172,-1.6957,-4.16965,-3.19202,3.2211,-0.571062,1.64264,1.67303,1.20083,-0.0778302,-4.73011,-7.62621,-11.7338,-13.4232,-12.2428,966779616,-324,-1348,-5368,280,5
39344787,4028,6,0.247834,0.139033,-9.86895,0.00771373,-0.00233585,-0.0374198,25.8537,78.4532,0.0023942,7.19375,3.50555,-3.82305,-7.70009,7.19375,-0.758069,-0.832872,-0.571062,-0.564049,-0.758069,-8.84248,-6.9906,-8.95717,-9.96555,-8.84248,966779616,-532,3221,-4415,279,4
39350359,5572,6,0.316578,0.271861,-9.88673,0.00195874,-0.00156702,-0.0558382,25.8905,78.4532,0.0023942,-2.78567,4.39234,8.1164,3.90233,-3.87803,0.915646,3.93348,1.90678,-2.58607,-4.69224,-11.1173,-11.1579,-9.91776,-7.87233,-10.6036,966779616,-2298,1622,-4682,291,5
39355159,4800,6,-0.0014834,0.23464,-9.82587,0.00337699,0.00898426,-0.0451746,25.8721,78.4532,0.0023942,-7.92956,-4.91302,3.1733,7.6001,5.68548,-2.29153,2.55664,5.7568,3.76751,-1.95024,-10.8473,-9.7266,-8.45776,-9.15311,-8.35262,966779616,-1125,-2379,-3740,285,5
39359194,4035,6,-0.0345924,-0.0521652,-9.85969,-0.0140184,-0.00602292,-0.0425667,25.866,78.4532,0.0023942,-2.91236,-7.66424,-4.93932,2.98925,-7.66424,-5.57117,-4.51458,1.50706,6.69885,-4.51458,-12.0492,-11.5044,-10.1902,-8.08261,-11.5044,966779616,2575,-1251,-3627,283,4
39363202,4008,6,0.189797,0.388615,-9.69424,0.00608311,-0.00177326,-0.0398824,25.866,78.4532,0.0023942,6.67028,3.91907,-1.99449,-6.04123,-1.99449,5.49966,0.691237,-5.55247,-6.37296,-5.55247,-6.74687,-9.34905,-12.0229,-13.3013,-12.0229,966779616,-3017,2527,-5811,283,4
