timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid
217687455,-0.490734,-0.7585,-9.89047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.824714,-0.0276299,-0.0122606,-0.564742,-0.149155,-0.0430204,0.118536,0.0,0
217707455,-0.284204,-0.613839,-10.1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.824087,-0.02665,-0.0107773,-0.565733,-0.18042,-0.0867351,0.111187,0.0,0
217727455,-0.701671,-0.188677,-10.3154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.823482,-0.0259872,-0.00950319,-0.566668,-0.132976,-0.10412,0.121462,0.0,0
217751456,-0.596078,-1.17841,-9.89832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822544,-0.0255854,-0.00833148,-0.568065,-0.0989604,-0.0812931,0.155166,0.0,0
217771455,-0.607391,-0.379449,-10.0966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.821641,-0.0252354,-0.00764521,-0.569396,-0.0395438,-0.0275453,0.163248,0.0,0
217791456,-0.468234,0.0437635,-10.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.820736,-0.0249363,-0.00839341,-0.570702,0.082589,0.117479,0.151007,0.0,0
217811455,-0.296169,-0.604345,-9.99134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819875,-0.0248033,-0.0107956,-0.571904,0.165054,0.215475,0.134024,0.0,0
217835455,-0.533069,-1.05762,-10.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.0251044,-0.0133781,-0.573088,0.127484,0.0983991,0.102666,0.0,0
217855455,-0.569565,-0.371914,-10.2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.818429,-0.0256534,-0.0136324,-0.573873,0.0126945,-0.0841005,0.0947906,0.0,0
217875455,-0.537501,-0.62013,-10.1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.817883,-0.0263177,-0.0118987,-0.574659,-0.0903105,-0.231549,0.103143,0.0,0
